classid,image_path,species,genus,family,order,class,image_backup_url
5328909,5328909/241beff6636be5b1208b7f786d3d2068c7c1c55f.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/241beff6636be5b1208b7f786d3d2068c7c1c55f.jpg
5328909,5328909/4d391deab30e58d15fbc5d190a7c0be47ddf1156.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4d391deab30e58d15fbc5d190a7c0be47ddf1156.jpg
5328909,5328909/20b2e4f18dc0d5b7ba9397dadb9b70e256cd702b.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/20b2e4f18dc0d5b7ba9397dadb9b70e256cd702b.jpg
5328909,5328909/03ce79be38e16a3989671b3f7604b107aa353ee9.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/03ce79be38e16a3989671b3f7604b107aa353ee9.jpg
5328909,5328909/4946cfeb54e1cfd727ad4a0bb4283e62f96385b3.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4946cfeb54e1cfd727ad4a0bb4283e62f96385b3.jpg
5328909,5328909/591acbd87ec4b4272bd5a8458104954eadcfc744.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/591acbd87ec4b4272bd5a8458104954eadcfc744.jpg
5328909,5328909/d47ea040823f25bc6572b5c47e22b220e5bada7c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/d47ea040823f25bc6572b5c47e22b220e5bada7c.jpg
5328909,5328909/d792f3a0f3e9be41c06f5e9aab8129269db1e654.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/d792f3a0f3e9be41c06f5e9aab8129269db1e654.jpg
5328909,5328909/0ef3a3d723da02142b3a5116b02bdce55e334fa9.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/0ef3a3d723da02142b3a5116b02bdce55e334fa9.jpg
5328909,5328909/cd3b7b4c67386b2b195c77064b0a6f9b39176cf5.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cd3b7b4c67386b2b195c77064b0a6f9b39176cf5.jpg
5328909,5328909/555e7e70d216f136425e679ba546828e7df01c46.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/555e7e70d216f136425e679ba546828e7df01c46.jpg
5328909,5328909/2c15142de917e1759f6250737e0785e199ff5c97.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2c15142de917e1759f6250737e0785e199ff5c97.jpg
5328909,5328909/0974d0a1270c1959f5d3818969e6951f6f5f8467.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/0974d0a1270c1959f5d3818969e6951f6f5f8467.jpg
5328909,5328909/728e661109c0614a7758e92a3c7bba264f4b6899.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/728e661109c0614a7758e92a3c7bba264f4b6899.jpg
5328909,5328909/cc52c2596100478fdc049ab9801404aa675b62a7.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cc52c2596100478fdc049ab9801404aa675b62a7.jpg
5328909,5328909/b211cdffb99301cc41268d3600d6a60a0b7e7c00.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/b211cdffb99301cc41268d3600d6a60a0b7e7c00.jpg
5328909,5328909/64c8f2d9e46199e814b184b6c1fae8316f285331.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/64c8f2d9e46199e814b184b6c1fae8316f285331.jpg
5328909,5328909/efd910d8849cb825ed49f9996756fad4e7cc25f7.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/efd910d8849cb825ed49f9996756fad4e7cc25f7.jpg
5328909,5328909/e978bd509685f2ee9090823108a081da29e380dd.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/e978bd509685f2ee9090823108a081da29e380dd.jpg
5328909,5328909/83e083adbff7aff694267101814038f38e2dcf14.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/83e083adbff7aff694267101814038f38e2dcf14.jpg
5328909,5328909/eb8bdabd20051afc6f9f182f296bd617e695352e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/eb8bdabd20051afc6f9f182f296bd617e695352e.jpg
5328909,5328909/8b626eee00a7954abf54ec6812d95bd47293fb11.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/8b626eee00a7954abf54ec6812d95bd47293fb11.jpg
5328909,5328909/a3626dc2c95c9cbfc769896bb3609275032f27d7.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/a3626dc2c95c9cbfc769896bb3609275032f27d7.jpg
5328909,5328909/5a88bfc040ab743f70d8124887fa81c607f26b03.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/5a88bfc040ab743f70d8124887fa81c607f26b03.jpg
5328909,5328909/08db15e607a908c45fdbe364324b48bbcda8d0b3.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/08db15e607a908c45fdbe364324b48bbcda8d0b3.jpg
5328909,5328909/5dbe7de214399b5c2bfc75757dbabd224d7931c1.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/5dbe7de214399b5c2bfc75757dbabd224d7931c1.jpg
5328909,5328909/b0e4bf8d533c79f73f0dd1769c5e322a09127034.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/b0e4bf8d533c79f73f0dd1769c5e322a09127034.jpg
5328909,5328909/c2a6b2fd268d9d83344039bd3e7e43a41615c8a6.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/c2a6b2fd268d9d83344039bd3e7e43a41615c8a6.jpg
5328909,5328909/6c7307809cc419143e454d3621af7658cc62845f.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/6c7307809cc419143e454d3621af7658cc62845f.jpg
5328909,5328909/3158b905daf869af543bf398de14144a350dd319.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/3158b905daf869af543bf398de14144a350dd319.jpg
5328909,5328909/cd294fb54e0e2230dd0ae1edd2cf77c0e1fc70e0.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cd294fb54e0e2230dd0ae1edd2cf77c0e1fc70e0.jpg
5328909,5328909/491b4312fd41afdbefee6d443a254b8fcf35222c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/491b4312fd41afdbefee6d443a254b8fcf35222c.jpg
5328909,5328909/cf6c4dcbf511ed235717078cc983556a4f6f612b.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cf6c4dcbf511ed235717078cc983556a4f6f612b.jpg
5328909,5328909/131d8fe511e2482564f3dc68ab68d43fc4928ca0.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/131d8fe511e2482564f3dc68ab68d43fc4928ca0.jpg
5328909,5328909/df70816b5530d08dd95a575673eaed277fb1801e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/df70816b5530d08dd95a575673eaed277fb1801e.jpg
5328909,5328909/09fc6e36bbf0ad3b8e372e507369b9fb58dc12e2.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/09fc6e36bbf0ad3b8e372e507369b9fb58dc12e2.jpg
5328909,5328909/b1f9960d703466300d5f1b4a3668c8c3aa8b222e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/b1f9960d703466300d5f1b4a3668c8c3aa8b222e.jpg
5328909,5328909/581beb77137e84966c7c34225632788b13f745fd.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/581beb77137e84966c7c34225632788b13f745fd.jpg
5328909,5328909/4ca9c1a7c95649c42c87a8e47031bcaa1352aeb4.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4ca9c1a7c95649c42c87a8e47031bcaa1352aeb4.jpg
5328909,5328909/c1584df54070dc1b4a40468cb23a8e15af5a7fe9.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/c1584df54070dc1b4a40468cb23a8e15af5a7fe9.jpg
5328909,5328909/5f9441c8482ec8ec1d61cacbee9c24613410acae.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/5f9441c8482ec8ec1d61cacbee9c24613410acae.jpg
5328909,5328909/3669464173bb72185817d1988628b32b2c623aef.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/3669464173bb72185817d1988628b32b2c623aef.jpg
5328909,5328909/2dd4ab5daa6921cd661363ea6b8d8bc5158f92ce.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2dd4ab5daa6921cd661363ea6b8d8bc5158f92ce.jpg
5328909,5328909/0929d1feaea251e22b6533e2f382377e4ee7846e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/0929d1feaea251e22b6533e2f382377e4ee7846e.jpg
5328909,5328909/684a2f2884280dc716747541b43531b8c2146900.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/684a2f2884280dc716747541b43531b8c2146900.jpg
5328909,5328909/2734ee8e439c4d386829fc7bf9ab339c542f644d.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2734ee8e439c4d386829fc7bf9ab339c542f644d.jpg
5328909,5328909/2871f1e604bb91b2373a82bc8f114471cca1995e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2871f1e604bb91b2373a82bc8f114471cca1995e.jpg
5328909,5328909/3d9757949735ce2d067676a2447c5fa2666cceb2.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/3d9757949735ce2d067676a2447c5fa2666cceb2.jpg
5328909,5328909/fc74b5eaabefb9ec55ab14e98ef3630c75e97097.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/fc74b5eaabefb9ec55ab14e98ef3630c75e97097.jpg
5328909,5328909/a9e75c16816211b45759629c880a404e2a095e51.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/a9e75c16816211b45759629c880a404e2a095e51.jpg
5328909,5328909/9f12173ec7474e3fd666fd6fdec9fe6cfc3c1bad.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/9f12173ec7474e3fd666fd6fdec9fe6cfc3c1bad.jpg
5328909,5328909/4176d8732d5360e77ca3c923275093f504ec3c48.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4176d8732d5360e77ca3c923275093f504ec3c48.jpg
5328909,5328909/19968efa98987f19536d3291c0e85d26ecc91a0b.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/19968efa98987f19536d3291c0e85d26ecc91a0b.jpg
5328909,5328909/a310f1bb42e1e11196a88d29b18f1856cecca488.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/a310f1bb42e1e11196a88d29b18f1856cecca488.jpg
5328909,5328909/d806a17cd5f09b79e5d2bcc07dc9dbe5d5ca8402.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/d806a17cd5f09b79e5d2bcc07dc9dbe5d5ca8402.jpg
5328909,5328909/6c4dbfc68f73e73903880bf9a42d619533a34d1c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/6c4dbfc68f73e73903880bf9a42d619533a34d1c.jpg
5328909,5328909/aa8cfd34759a2193fa9e5fb37392612da4bce632.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/aa8cfd34759a2193fa9e5fb37392612da4bce632.jpg
5328909,5328909/d2303ba047d52b24459716d989067b9372e60f3e.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/d2303ba047d52b24459716d989067b9372e60f3e.jpg
5328909,5328909/2029dea0003bb2654fccc0f3463e007d61d71fab.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2029dea0003bb2654fccc0f3463e007d61d71fab.jpg
5328909,5328909/c23b1e7a7b85dc49ea83a2f99dba03769c237cfc.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/c23b1e7a7b85dc49ea83a2f99dba03769c237cfc.jpg
5328909,5328909/a72b17db18b842db4b3865eb3e81add6f90e4303.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/a72b17db18b842db4b3865eb3e81add6f90e4303.jpg
5328909,5328909/6e4dcae0ddeecf24984fe88e9a3ca876f97392d6.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/6e4dcae0ddeecf24984fe88e9a3ca876f97392d6.jpg
5328909,5328909/e402ee561a36a9bb31527d4e4e280db26c7934bf.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/e402ee561a36a9bb31527d4e4e280db26c7934bf.jpg
5328909,5328909/6da05f9c314ba2a8ba126bc861b49a07bdb13c5a.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/6da05f9c314ba2a8ba126bc861b49a07bdb13c5a.jpg
5328909,5328909/f9474b364015bf8a3c60a379e2e637c0efb37a93.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/f9474b364015bf8a3c60a379e2e637c0efb37a93.jpg
5328909,5328909/35859aa0e6f9754d48297da2a2ffb274b3fdd705.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/35859aa0e6f9754d48297da2a2ffb274b3fdd705.jpg
5328909,5328909/75db8e3000c9248d246b8ffe38e053805c4a21d7.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/75db8e3000c9248d246b8ffe38e053805c4a21d7.jpg
5328909,5328909/cb699b2d6a3d788d93f72ab666b879a8f7720146.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cb699b2d6a3d788d93f72ab666b879a8f7720146.jpg
5328909,5328909/bbdf02c1968122634a8121a14458ab4be8a9cbbe.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/bbdf02c1968122634a8121a14458ab4be8a9cbbe.jpg
5328909,5328909/64e62003091231d580fb289b1021ba386a455a7a.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/64e62003091231d580fb289b1021ba386a455a7a.jpg
5328909,5328909/75ee4bd68be6b7b4502b88bafbac933316d42d60.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/75ee4bd68be6b7b4502b88bafbac933316d42d60.jpg
5328909,5328909/ce9e5f742a68cd1e482ad334395afe3e4c6b2029.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/ce9e5f742a68cd1e482ad334395afe3e4c6b2029.jpg
5328909,5328909/6567b9ca1ca7f3d1f884e27f6fa42e31a0d7b75a.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/6567b9ca1ca7f3d1f884e27f6fa42e31a0d7b75a.jpg
5328909,5328909/2244caaaa9d9092d184e41cb9af4b5b715e98dbc.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2244caaaa9d9092d184e41cb9af4b5b715e98dbc.jpg
5328909,5328909/b5a971fc3f7dc58b1069715db269c8056e583879.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/b5a971fc3f7dc58b1069715db269c8056e583879.jpg
5328909,5328909/ff028b92136e152588a9c7fb8f0e348ce209bf23.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/ff028b92136e152588a9c7fb8f0e348ce209bf23.jpg
5328909,5328909/ea5c4a79bcd8bfbb8b5d145f57038415ba872195.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/ea5c4a79bcd8bfbb8b5d145f57038415ba872195.jpg
5328909,5328909/b103b343580ace0dc20527c22cf57ec5ce16afc8.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/b103b343580ace0dc20527c22cf57ec5ce16afc8.jpg
5328909,5328909/119fa2be413b8650507e2bcf2bd6a267c995a7c6.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/119fa2be413b8650507e2bcf2bd6a267c995a7c6.jpg
5328909,5328909/67ca6f8c3a66fe1bd2835a4e1b2a61e674692217.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/67ca6f8c3a66fe1bd2835a4e1b2a61e674692217.jpg
5328909,5328909/7b19ea5921fce9d7ad2e275309e8de897163adf6.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/7b19ea5921fce9d7ad2e275309e8de897163adf6.jpg
